date,open,high,low,close,volume
2021-06-02 00:00:00+05:30,744.8,745.3,734.2,737.7,9971012
2021-06-01 00:00:00+05:30,753.55,754,741.15,745.15,6659136
2021-05-31 00:00:00+05:30,737.9,753,734,750.7,9274196
2021-05-28 00:00:00+05:30,752.6,759.7,738.5,743.5,17148920
2021-05-27 00:00:00+05:30,737.2,753.85,731,750.35,23032924
2021-05-26 00:00:00+05:30,738,741.4,729.5,735.1,9080335
2021-05-25 00:00:00+05:30,744.4,745,725.85,731.55,11342698
2021-05-24 00:00:00+05:30,730.4,747.5,726.75,741.15,15698904
2021-05-21 00:00:00+05:30,707,733.4,707,730.9,15880733
2021-05-20 00:00:00+05:30,708.6,714.4,704.55,705.9,18829268
2021-05-19 00:00:00+05:30,704,723.7,702.2,716.8,20123286
2021-05-18 00:00:00+05:30,720,726,708.5,711.65,19504531
2021-05-17 00:00:00+05:30,691.5,710.3,684.4,709.25,12095055
2021-05-14 00:00:00+05:30,695,698.6,681.4,685,9375957
2021-05-12 00:00:00+05:30,704,705.75,689.05,691.3,10851665
2021-05-11 00:00:00+05:30,704.8,713.7,703,707.35,12735767
2021-05-10 00:00:00+05:30,723.5,725,714,715.25,7979343
2021-05-07 00:00:00+05:30,721,726.9,714,716.75,7127739
2021-05-06 00:00:00+05:30,718,722.85,710.25,715.75,9483401
2021-05-05 00:00:00+05:30,709,719.05,700,717.2,11149064
2021-05-04 00:00:00+05:30,704,718.65,698.1,700.35,11978623
2021-05-03 00:00:00+05:30,706,708,692.1,702.75,13751156
2021-04-30 00:00:00+05:30,705,729.85,705,714.9,23009413
2021-04-29 00:00:00+05:30,705.95,726.9,705.95,719.4,25938317
2021-04-28 00:00:00+05:30,708,712.5,688.15,708.15,54057025
2021-04-27 00:00:00+05:30,691.1,703.9,684.1,699.55,46558291
2021-04-26 00:00:00+05:30,694,703.8,684.5,700.45,21643829
2021-04-23 00:00:00+05:30,656,677.5,650.9,671.35,19166497
2021-04-22 00:00:00+05:30,641,660.95,634.4,658.7,19370589
2021-04-20 00:00:00+05:30,656,662,643,651.75,12293972
