exchange,scrip,scrip_name,all_time_high,all_time_low,Fib 23.6,Fib 38.2,Fib 61.8,Fib 78.6
NSE,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,885.0,52.51,688.53236,566.98882,370.52117999999996,230.6628599999999
NSE,ASIANPAINT,Asian Paints Ltd.,2989.95,72.9,2301.5262,1875.6369,1187.2131,697.1486999999997
NSE,AXISBANK,Axis Bank Ltd.,827.75,59.34,646.40524,534.21738,352.87262000000004,223.77973999999995
NSE,BAJAJ-AUTO,Bajaj Auto Ltd.,4361.4,153.53,3368.3426799999997,2753.9936599999996,1760.9363399999997,1054.0141799999997
NSE,BAJFINANCE,Bajaj Finance Ltd.,5845.0,5.08,4466.77888,3614.15056,2235.92944,1254.8228799999997
NSE,BAJAJFINSV,Bajaj Finserv Ltd.,12025.0,93.1,9209.0716,7467.0142,4651.085800000001,2646.5265999999992
NSE,BPCL,Bharat Petroleum Corporation Ltd.,551.55,38.67,430.51032,355.62983999999994,234.59015999999997,148.42631999999992
NSE,BHARTIARTL,Bharti Airtel Ltd.,623.0,224.14,528.86904,470.63548000000003,376.50451999999996,309.49604
NSE,BRITANNIA,Britannia Industries Ltd.,4010.0,110.1,3089.6236,2520.2382,1599.8618000000001,944.6785999999997
NSE,CIPLA,Cipla Ltd.,966.35,170.9,778.6238000000001,662.4881,474.7619,341.1263
NSE,COALINDIA,Coal India Ltd.,447.1,112.45,368.12260000000003,319.26370000000003,240.2863,184.06509999999997
NSE,DIVISLAB,Divi's Laboratories Ltd.,4284.2,205.71,3321.67636,2726.2168199999996,1763.6931799999998,1078.50686
NSE,DRREDDY,Dr. Reddy's Laboratories Ltd.,5512.65,384.95,4302.5127999999995,3553.8686,2343.7313999999997,1482.2777999999994
NSE,EICHERMOT,Eicher Motors Ltd.,3348.0,16.0,2561.648,2075.176,1288.824,729.0479999999998
NSE,GRASIM,Grasim Industries Ltd.,1494.9,145.6,1176.4652,979.4674,661.0326,434.35019999999986
NSE,HCLTECH,HCL Technologies Ltd.,1067.0,23.69,820.7788400000001,668.45558,422.23442,246.95834000000002
NSE,HDFCBANK,HDFC Bank Ltd.,1641.0,81.47,1272.95092,1045.25954,677.21046,415.2094199999999
NSE,HDFCLIFE,HDFC Life Insurance Company Ltd.,746.0,349.75,652.485,594.6324999999999,501.1175,434.5475
NSE,HEROMOTOCO,Hero MotoCorp Ltd.,4091.95,655.0,3280.8298,2779.0351,1967.9148999999998,1390.5072999999998
NSE,HINDALCO,Hindalco Industries Ltd.,427.5,38.4,335.6724,278.86379999999997,187.03619999999998,121.66739999999999
NSE,HINDUNILVR,Hindustan Unilever Ltd.,2614.3,199.0,2044.2892000000002,1691.6554,1121.6446,715.8742
NSE,HDFC,Housing Development Finance Corporation Ltd.,2896.0,239.76,2269.12736,1881.31632,1254.44368,808.1953600000002
NSE,ICICIBANK,ICICI Bank Ltd.,679.4,49.53,530.75068,438.78965999999997,290.14034,184.32217999999995
