scrip,scrip_name
20MICRONS,20 MICRONS LIMITED
21STCENMGM,21ST CENTURY MGMT SERVICE
3IINFOTECH,3I INFOTECH LIMITED.
3MINDIA,3M INDIA LIMITED
3PLAND,3P LAND HOLDINGS LIMITED
5PAISA,5PAISA CAPITAL LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
8KMILES,8K MILES SOFT SERV LIMITED
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
AARTIDRUGS,AARTI DRUGS LIMITED.
AARTIIND,AARTI INDUSTRIES LIMITED
AARVEEDEN,AARVEE DEN. & EXP. LIMITED
AARVI,AARVI ENCON LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
ABAN,ABAN OFFSHORE LIMITED.
ABB,ABB INDIA LIMITED
ABBOTINDIA,ABBOTT INDIA LIMITED
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED.
ABFRL,ADITYA BIRLA FASHION & RT
ABGSHIP,ABG SHIPYARD LIMITED
ABHISHEK,ABHISHEK CORPORATION LIMITED
ABMINTLTD,ABM INTERNATIONAL LIMITED
ABSLBANETF,BIRLASLAMC - ABSLBANETF
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET
ACC,ACC LIMITED
ACCELYA,ACCELYA SOLN INDIA LIMITED
ACE,ACTION CONST EQUIP LIMITED
ACELAB,A C E LABORATORIES LIMITED
ACROPETAL,ACROPETAL TECH LIMITED
ADANIENT,ADANI ENTERPRISES LIMITED
ADANIGAS,ADANI GAS LIMITED
ADANIGREEN,ADANI GREEN ENERGY LIMITED
ADANIPORTS,ADANI PORT & SEZ LIMITED
ADANIPOWER,ADANI POWER LIMITED
ADANITRANS,ADANI TRANSMISSION LIMITED
ADARSHCHEM,ADARSH CHEMICALS & FERT.
ADFFOODS,ADF FOODS LIMITED
ADHUNIK,ADHUNIK METALIKS LIMITED.
ADHUNIKIND,ADHUNIK INDUSTRIES LIMITED
ADITYASPIN,ADITYA SPINNERS LIMITED
ADORWELD,ADOR WELDING LIMITED
ADROITINFO,ADROIT INFOTECH LIMITED
ADSL,ALLIED DIGITAL SERV. LIMITED
ADVANIHOTR,ADVANI HOT.& RES.(I) LIMITED
ADVENZYMES,ADVANCED ENZYME TECH LIMITED
AEC,AEC (I) LIMITED.
AEGISCHEM,AEGIS LOGISTICS LIMITED
AFFLE,AFFLE (INDIA) LIMITED
AFTEK,AFTEK  LIMITED
AGARIND,AGARWAL INDS CORP LIMITED.
AGCNET,AGC NETWORKS LIMITED
AGLSL,ARTEM GLOBAL LIFE SC LIMITED
AGRIHATCH,AGRITECH HATCHERIED AND F
AGRITECH,AGRI-TECH (INDIA) LIMITED
AGRODUTCH,AGRO DUTCH INDUSTRIES LIMITED
AGROPHOS,AGRO PHOS INDIA LIMITED
AHLEAST,ASIAN HOTELS (EAST) LIMITED
AHLUCONT,AHLUWALIA CONT IND LIMITED
AHLWEST,ASIAN HOTELS (WEST) LIMITED
AIAENG,AIA ENGINEERING LIMITED
AICHAMP,AI CHAMPDANY INDS LIMITED
AIFL,ASHAPURA INTI FASHION LIMITED
AIMCOPEST,AIMCO PESTICIDES LIMITED.
AIONJSW,MONNET ISPAT & ENERGY LIMITED
AIRAN,AIRAN LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
AJMERA,AJMERA REALTY & INF I LIMITED
AKAIMPEX,AKAI IMPEX LIMITED.
AKARLAMIN,AKAR LAMINATORS LIMITED
AKASH,AKASH INFRA-PROJECTS LIMITED
AKGACOUST,AKG ACOUSTICS (I) LIMITED.
AKSHARCHEM,AKSHARCHEM INDIA LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
AKZOINDIA,AKZO NOBEL INDIA LIMITED
ALANKIT,ALANKIT LIMITED
ALBERTDAVD,ALBERT DAVID LIMITED
ALBK,ALLAHABAD BANK
ALBRMORARJ,ALBRIGHT & WILSON CHE LIMITED
ALCHEM,ALCHEMIST LIMITED
ALEMBICLTD,ALEMBIC LIMITED
ALFREDHERB,ALFRED HERBERT (I) LIMITED
ALIANCREDT,ALLIANCE CREDIT & INVEST
ALICON,ALICON CASTALLOY LIMITED
ALKALI,ALKALI METALS LIMITED
ALKEM,ALKEM LABORATORIES LIMITED.
ALKYLAMINE,ALKYL AMINES CHEM. LIMITED
ALLCARGO,ALLCARGO LOGISTICS LIMITED
ALLSEC,ALLSEC TECHNOLOGIES LIMITED
ALMONDZ,ALMONDZ GLOBAL SEC LIMITED
ALOKINDS,ALOK INDUSTRIES LIMITED
ALOKTEXT,ALOK INDUSTRIES LIMITED
ALPA,ALPA LABORATORIES LIMITED
ALPHADRUG,ALPHA DRUG (I) LIMITED
ALPHAGEO,ALPHAGEO (INDIA) LIMITED
ALPINEIND,ALPINE INDUSTRIES LIMITED
ALPSINDUS,ALPS INDUSTRIES LIMITED
ALSAMARINE,ALSA MARINE AND HARVESTS
ALTOS,ALTOS (I) LIMITED
